id,name,scientific_name,category,habitat,region,diet,conservation_status,fun_fact,description
73,Komodo Dragon,Varanus komodoensis,Reptile,dry savanna and forest,the Indonesian islands of Komodo and Flores,"deer, pigs, and carrion (carnivore)",Endangered,"The largest living lizard, with a bite that delivers venom and bacteria-laden saliva.","Komodo Dragon (Varanus komodoensis) is a reptile that lives in dry savanna and forest, found in the Indonesian islands of Komodo and Flores. Diet: deer, pigs, and carrion (carnivore). Conservation status: Endangered. The largest living lizard, with a bite that delivers venom and bacteria-laden saliva."
74,Green Iguana,Iguana iguana,Reptile,tropical rainforest canopy,Central and South America,"leaves, flowers, and fruit (herbivore)",Least Concern,"Can drop its tail to escape a predator, then regrow it over time.","Green Iguana (Iguana iguana) is a reptile that lives in tropical rainforest canopy, found in Central and South America. Diet: leaves, flowers, and fruit (herbivore). Conservation status: Least Concern. Can drop its tail to escape a predator, then regrow it over time."
75,Veiled Chameleon,Chamaeleo calyptratus,Reptile,mountain valleys and plateaus,Yemen and Saudi Arabia,insects and some plant matter (omnivore),Least Concern,Its independently swiveling eyes give it a nearly 360-degree field of view.,"Veiled Chameleon (Chamaeleo calyptratus) is a reptile that lives in mountain valleys and plateaus, found in Yemen and Saudi Arabia. Diet: insects and some plant matter (omnivore). Conservation status: Least Concern. Its independently swiveling eyes give it a nearly 360-degree field of view."
76,Leopard Gecko,Eublepharis macularius,Reptile,"rocky, arid grassland",South Asia and the Middle East,insects (insectivore),Least Concern,"Unlike most geckos, it has movable eyelids and no adhesive toe pads.","Leopard Gecko (Eublepharis macularius) is a reptile that lives in rocky, arid grassland, found in South Asia and the Middle East. Diet: insects (insectivore). Conservation status: Least Concern. Unlike most geckos, it has movable eyelids and no adhesive toe pads."
77,Nile Monitor,Varanus niloticus,Reptile,"rivers, lakes, and wetlands",sub-Saharan Africa,"eggs, fish, and small animals (carnivore)",Least Concern,One of Africa's largest lizards and a strong swimmer.,"Nile Monitor (Varanus niloticus) is a reptile that lives in rivers, lakes, and wetlands, found in sub-Saharan Africa. Diet: eggs, fish, and small animals (carnivore). Conservation status: Least Concern. One of Africa's largest lizards and a strong swimmer."
78,Galapagos Tortoise,Chelonoidis niger,Reptile,volcanic scrubland and grassland,the Galapagos Islands,"grasses, cactus, and fruit (herbivore)",Vulnerable,"Among the longest-lived vertebrates, with some individuals surpassing 100 years.","Galapagos Tortoise (Chelonoidis niger) is a reptile that lives in volcanic scrubland and grassland, found in the Galapagos Islands. Diet: grasses, cactus, and fruit (herbivore). Conservation status: Vulnerable. Among the longest-lived vertebrates, with some individuals surpassing 100 years."
79,Green Sea Turtle,Chelonia mydas,Reptile,"coastal waters, seagrass beds, and coral reefs",tropical and subtropical oceans worldwide,seagrass and algae as adults (herbivore),Endangered,"Named for the greenish color of its fat, not its shell.","Green Sea Turtle (Chelonia mydas) is a reptile that lives in coastal waters, seagrass beds, and coral reefs, found in tropical and subtropical oceans worldwide. Diet: seagrass and algae as adults (herbivore). Conservation status: Endangered. Named for the greenish color of its fat, not its shell."
80,Ball Python,Python regius,Reptile,grassland and open forest,West and Central Africa,small mammals (carnivore),Least Concern,Named for its habit of curling into a tight ball when threatened.,"Ball Python (Python regius) is a reptile that lives in grassland and open forest, found in West and Central Africa. Diet: small mammals (carnivore). Conservation status: Least Concern. Named for its habit of curling into a tight ball when threatened."
81,Boa Constrictor,Boa constrictor,Reptile,tropical forest and scrubland,Central and South America,birds and mammals (carnivore),Least Concern,"Kills prey by constriction rather than venom, subduing it before swallowing whole.","Boa Constrictor (Boa constrictor) is a reptile that lives in tropical forest and scrubland, found in Central and South America. Diet: birds and mammals (carnivore). Conservation status: Least Concern. Kills prey by constriction rather than venom, subduing it before swallowing whole."
82,King Cobra,Ophiophagus hannah,Reptile,forest and dense jungle,South and Southeast Asia,primarily other snakes (carnivore),Vulnerable,"The world's longest venomous snake, sometimes exceeding 5 meters.","King Cobra (Ophiophagus hannah) is a reptile that lives in forest and dense jungle, found in South and Southeast Asia. Diet: primarily other snakes (carnivore). Conservation status: Vulnerable. The world's longest venomous snake, sometimes exceeding 5 meters."
83,Eastern Diamondback Rattlesnake,Crotalus adamanteus,Reptile,pine forest and scrubland,southeastern United States,small mammals and birds (carnivore),Least Concern,"The heaviest venomous snake in North America, with a rattle to warn off threats.","Eastern Diamondback Rattlesnake (Crotalus adamanteus) is a reptile that lives in pine forest and scrubland, found in southeastern United States. Diet: small mammals and birds (carnivore). Conservation status: Least Concern. The heaviest venomous snake in North America, with a rattle to warn off threats."
84,Gaboon Viper,Bitis gabonica,Reptile,tropical rainforest,sub-Saharan Africa,small mammals and birds (carnivore),Least Concern,"Has the longest fangs of any venomous snake, up to 5 cm.","Gaboon Viper (Bitis gabonica) is a reptile that lives in tropical rainforest, found in sub-Saharan Africa. Diet: small mammals and birds (carnivore). Conservation status: Least Concern. Has the longest fangs of any venomous snake, up to 5 cm."
85,Bearded Dragon,Pogona vitticeps,Reptile,arid woodland and desert,Australia,"insects, greens, and fruit (omnivore)",Least Concern,"Puffs out a spiny throat pouch, its 'beard', to look larger when threatened.","Bearded Dragon (Pogona vitticeps) is a reptile that lives in arid woodland and desert, found in Australia. Diet: insects, greens, and fruit (omnivore). Conservation status: Least Concern. Puffs out a spiny throat pouch, its 'beard', to look larger when threatened."
86,Golden Poison Frog,Phyllobates terribilis,Amphibian,tropical rainforest floor,the Pacific coast of Colombia,"ants, termites, and small insects (insectivore)",Endangered,"One of the most toxic animals on Earth, though captive-bred frogs lose most of their toxicity.","Golden Poison Frog (Phyllobates terribilis) is a amphibian that lives in tropical rainforest floor, found in the Pacific coast of Colombia. Diet: ants, termites, and small insects (insectivore). Conservation status: Endangered. One of the most toxic animals on Earth, though captive-bred frogs lose most of their toxicity."
87,Red-eyed Tree Frog,Agalychnis callidryas,Amphibian,tropical rainforest canopy,Central America,insects (insectivore),Least Concern,"Its startling red eyes may briefly stun predators, giving it a chance to flee.","Red-eyed Tree Frog (Agalychnis callidryas) is a amphibian that lives in tropical rainforest canopy, found in Central America. Diet: insects (insectivore). Conservation status: Least Concern. Its startling red eyes may briefly stun predators, giving it a chance to flee."
88,American Bullfrog,Lithobates catesbeianus,Amphibian,"ponds, lakes, and marshes",eastern North America,"insects, small fish, and even small birds (carnivore)",Least Concern,"Named for its deep, bellowing call, audible over long distances.","American Bullfrog (Lithobates catesbeianus) is a amphibian that lives in ponds, lakes, and marshes, found in eastern North America. Diet: insects, small fish, and even small birds (carnivore). Conservation status: Least Concern. Named for its deep, bellowing call, audible over long distances."
89,Axolotl,Ambystoma mexicanum,Amphibian,freshwater lakes and canals,the Xochimilco lake system near Mexico City,small invertebrates (carnivore),Critically Endangered,"Retains its larval, gilled form for life and can regrow entire limbs.","Axolotl (Ambystoma mexicanum) is a amphibian that lives in freshwater lakes and canals, found in the Xochimilco lake system near Mexico City. Diet: small invertebrates (carnivore). Conservation status: Critically Endangered. Retains its larval, gilled form for life and can regrow entire limbs."
90,Fire Salamander,Salamandra salamandra,Amphibian,damp forest floor,Europe,"insects, worms, and slugs (insectivore)",Least Concern,Bold black-and-yellow markings warn predators of toxins in its skin.,"Fire Salamander (Salamandra salamandra) is a amphibian that lives in damp forest floor, found in Europe. Diet: insects, worms, and slugs (insectivore). Conservation status: Least Concern. Bold black-and-yellow markings warn predators of toxins in its skin."
91,Eastern Newt,Notophthalmus viridescens,Amphibian,ponds and moist woodland,eastern North America,insects and small invertebrates (insectivore),Least Concern,Passes through a bright orange land-dwelling 'eft' stage before returning to water as an adult.,"Eastern Newt (Notophthalmus viridescens) is a amphibian that lives in ponds and moist woodland, found in eastern North America. Diet: insects and small invertebrates (insectivore). Conservation status: Least Concern. Passes through a bright orange land-dwelling 'eft' stage before returning to water as an adult."
92,Cane Toad,Rhinella marina,Amphibian,grassland and woodland edges,native to Central and South America,insects and small animals (omnivore),Least Concern,"Introduced to Australia to control pests, it became a major invasive species instead.","Cane Toad (Rhinella marina) is a amphibian that lives in grassland and woodland edges, found in native to Central and South America. Diet: insects and small animals (omnivore). Conservation status: Least Concern. Introduced to Australia to control pests, it became a major invasive species instead."
93,Chinese Giant Salamander,Andrias davidianus,Amphibian,cool mountain streams,China,"fish, crustaceans, and insects (carnivore)",Critically Endangered,"The largest living amphibian, capable of growing well over a meter long.","Chinese Giant Salamander (Andrias davidianus) is a amphibian that lives in cool mountain streams, found in China. Diet: fish, crustaceans, and insects (carnivore). Conservation status: Critically Endangered. The largest living amphibian, capable of growing well over a meter long."
94,Hellbender,Cryptobranchus alleganiensis,Amphibian,"clear, fast-flowing rivers",eastern United States,crayfish and small fish (carnivore),Near Threatened,"Breathes largely through its skin, which needs cool, oxygen-rich water.","Hellbender (Cryptobranchus alleganiensis) is a amphibian that lives in clear, fast-flowing rivers, found in eastern United States. Diet: crayfish and small fish (carnivore). Conservation status: Near Threatened. Breathes largely through its skin, which needs cool, oxygen-rich water."
95,Tomato Frog,Dyscophus antongilii,Amphibian,swamp and lowland forest,Madagascar,insects and small invertebrates (insectivore),Least Concern,"Its bright red-orange color warns predators, and it secretes a sticky defensive substance.","Tomato Frog (Dyscophus antongilii) is a amphibian that lives in swamp and lowland forest, found in Madagascar. Diet: insects and small invertebrates (insectivore). Conservation status: Least Concern. Its bright red-orange color warns predators, and it secretes a sticky defensive substance."
96,Great White Shark,Carcharodon carcharias,Fish,coastal and offshore ocean waters,temperate and subtropical oceans worldwide,"seals, fish, and other marine animals (carnivore)",Vulnerable,Can detect a single drop of blood diluted in a huge volume of seawater.,"Great White Shark (Carcharodon carcharias) is a fish that lives in coastal and offshore ocean waters, found in temperate and subtropical oceans worldwide. Diet: seals, fish, and other marine animals (carnivore). Conservation status: Vulnerable. Can detect a single drop of blood diluted in a huge volume of seawater."
97,Hammerhead Shark,Sphyrna species,Fish,coastal and open ocean waters,tropical and warm-temperate seas worldwide,"fish, squid, and rays (carnivore)",Vulnerable,"Its wide, flattened head improves sensory detection and gives it excellent maneuverability.","Hammerhead Shark (Sphyrna species) is a fish that lives in coastal and open ocean waters, found in tropical and warm-temperate seas worldwide. Diet: fish, squid, and rays (carnivore). Conservation status: Vulnerable. Its wide, flattened head improves sensory detection and gives it excellent maneuverability."
98,Whale Shark,Rhincodon typus,Fish,open tropical ocean,tropical oceans worldwide,plankton and small fish (filter feeder),Endangered,"The largest fish in the ocean, yet it feeds mostly on some of the smallest organisms.","Whale Shark (Rhincodon typus) is a fish that lives in open tropical ocean, found in tropical oceans worldwide. Diet: plankton and small fish (filter feeder). Conservation status: Endangered. The largest fish in the ocean, yet it feeds mostly on some of the smallest organisms."
99,Manta Ray,Mobula birostris,Fish,open ocean and coastal reefs,tropical and subtropical oceans worldwide,plankton (filter feeder),Endangered,Has one of the largest brain-to-body ratios of any fish.,"Manta Ray (Mobula birostris) is a fish that lives in open ocean and coastal reefs, found in tropical and subtropical oceans worldwide. Diet: plankton (filter feeder). Conservation status: Endangered. Has one of the largest brain-to-body ratios of any fish."
100,Clownfish,Amphiprion ocellaris,Fish,coral reefs,the Indo-Pacific,"algae, plankton, and small invertebrates (omnivore)",Least Concern,"Lives among sea anemone tentacles, protected by a mucus coating that resists the anemone's sting.","Clownfish (Amphiprion ocellaris) is a fish that lives in coral reefs, found in the Indo-Pacific. Diet: algae, plankton, and small invertebrates (omnivore). Conservation status: Least Concern. Lives among sea anemone tentacles, protected by a mucus coating that resists the anemone's sting."
101,Lined Seahorse,Hippocampus erectus,Fish,seagrass beds and coral reefs,the western Atlantic,small crustaceans (carnivore),Vulnerable,"Males, not females, carry and give birth to the young.","Lined Seahorse (Hippocampus erectus) is a fish that lives in seagrass beds and coral reefs, found in the western Atlantic. Diet: small crustaceans (carnivore). Conservation status: Vulnerable. Males, not females, carry and give birth to the young."
102,Bottlenose Dolphin,Tursiops truncatus,Mammal,coastal and offshore ocean waters,temperate and tropical oceans worldwide,fish and squid (carnivore),Least Concern,"Uses echolocation to hunt and navigate, and individuals develop signature whistles like names.","Bottlenose Dolphin (Tursiops truncatus) is a mammal that lives in coastal and offshore ocean waters, found in temperate and tropical oceans worldwide. Diet: fish and squid (carnivore). Conservation status: Least Concern. Uses echolocation to hunt and navigate, and individuals develop signature whistles like names."
103,Orca,Orcinus orca,Mammal,"oceans worldwide, from the tropics to polar seas",all major oceans,"fish, seals, and other marine mammals (carnivore)",Data Deficient,"The largest member of the dolphin family, living in tight-knit family pods.","Orca (Orcinus orca) is a mammal that lives in oceans worldwide, from the tropics to polar seas, found in all major oceans. Diet: fish, seals, and other marine mammals (carnivore). Conservation status: Data Deficient. The largest member of the dolphin family, living in tight-knit family pods."
104,West Indian Manatee,Trichechus manatus,Mammal,shallow coastal waters and rivers,"the southeastern United States, Caribbean, and Gulf of Mexico",seagrass and aquatic plants (herbivore),Vulnerable,"A gentle, slow-moving grazer sometimes called a 'sea cow'.","West Indian Manatee (Trichechus manatus) is a mammal that lives in shallow coastal waters and rivers, found in the southeastern United States, Caribbean, and Gulf of Mexico. Diet: seagrass and aquatic plants (herbivore). Conservation status: Vulnerable. A gentle, slow-moving grazer sometimes called a 'sea cow'."
105,California Sea Lion,Zalophus californianus,Mammal,coastal waters and rocky shores,the eastern Pacific coast,fish and squid (carnivore),Least Concern,"Highly trainable and vocal, often the star of marine mammal shows.","California Sea Lion (Zalophus californianus) is a mammal that lives in coastal waters and rocky shores, found in the eastern Pacific coast. Diet: fish and squid (carnivore). Conservation status: Least Concern. Highly trainable and vocal, often the star of marine mammal shows."
106,Harbor Seal,Phoca vitulina,Mammal,"coastal waters, bays, and estuaries",the Northern Hemisphere,fish and shellfish (carnivore),Least Concern,Can dive up to 500 meters and hold its breath for over 30 minutes.,"Harbor Seal (Phoca vitulina) is a mammal that lives in coastal waters, bays, and estuaries, found in the Northern Hemisphere. Diet: fish and shellfish (carnivore). Conservation status: Least Concern. Can dive up to 500 meters and hold its breath for over 30 minutes."
107,Walrus,Odobenus rosmarus,Mammal,arctic sea ice and coastline,the Arctic,clams and other bottom-dwelling invertebrates (carnivore),Vulnerable,Uses its long tusks to haul out onto ice and to spar for social rank.,"Walrus (Odobenus rosmarus) is a mammal that lives in arctic sea ice and coastline, found in the Arctic. Diet: clams and other bottom-dwelling invertebrates (carnivore). Conservation status: Vulnerable. Uses its long tusks to haul out onto ice and to spar for social rank."
108,Beluga Whale,Delphinapterus leucas,Mammal,arctic and sub-arctic coastal waters,the Arctic and sub-Arctic,"fish, squid, and crustaceans (carnivore)",Least Concern,Known as the 'canary of the sea' for its wide range of vocalizations.,"Beluga Whale (Delphinapterus leucas) is a mammal that lives in arctic and sub-arctic coastal waters, found in the Arctic and sub-Arctic. Diet: fish, squid, and crustaceans (carnivore). Conservation status: Least Concern. Known as the 'canary of the sea' for its wide range of vocalizations."
109,Humpback Whale,Megaptera novaeangliae,Mammal,"oceans worldwide, from polar feeding grounds to tropical breeding waters",all major oceans,krill and small fish (filter feeder),Least Concern,"Males sing long, complex songs that can carry for many kilometers underwater.","Humpback Whale (Megaptera novaeangliae) is a mammal that lives in oceans worldwide, from polar feeding grounds to tropical breeding waters, found in all major oceans. Diet: krill and small fish (filter feeder). Conservation status: Least Concern. Males sing long, complex songs that can carry for many kilometers underwater."
110,Green Moray Eel,Gymnothorax funebris,Fish,coral reefs and rocky coastlines,the western Atlantic,fish and crustaceans (carnivore),Least Concern,Its yellow-tinted mucus coating over blue-grey skin gives it a green appearance.,"Green Moray Eel (Gymnothorax funebris) is a fish that lives in coral reefs and rocky coastlines, found in the western Atlantic. Diet: fish and crustaceans (carnivore). Conservation status: Least Concern. Its yellow-tinted mucus coating over blue-grey skin gives it a green appearance."
111,Honeybee,Apis mellifera,Invertebrate,"meadows, forests, and cultivated land","worldwide (originally Europe, Africa, and Asia)",nectar and pollen (nectarivore),Least Concern,Communicates food locations to hive mates through a figure-eight 'waggle dance'.,"Honeybee (Apis mellifera) is a invertebrate that lives in meadows, forests, and cultivated land, found in worldwide (originally Europe, Africa, and Asia). Diet: nectar and pollen (nectarivore). Conservation status: Least Concern. Communicates food locations to hive mates through a figure-eight 'waggle dance'."
112,Monarch Butterfly,Danaus plexippus,Invertebrate,meadows and milkweed fields,North America,"milkweed as larvae, nectar as adults (herbivore/nectarivore)",Endangered,"Migrates up to 4,800 km between North America and central Mexico each year.","Monarch Butterfly (Danaus plexippus) is a invertebrate that lives in meadows and milkweed fields, found in North America. Diet: milkweed as larvae, nectar as adults (herbivore/nectarivore). Conservation status: Endangered. Migrates up to 4,800 km between North America and central Mexico each year."
113,Praying Mantis,Mantis religiosa,Invertebrate,"grassland, garden, and shrubland",widespread across temperate and tropical regions,insects (carnivore),Least Concern,Its triangular head can rotate nearly 180 degrees to track prey.,"Praying Mantis (Mantis religiosa) is a invertebrate that lives in grassland, garden, and shrubland, found in widespread across temperate and tropical regions. Diet: insects (carnivore). Conservation status: Least Concern. Its triangular head can rotate nearly 180 degrees to track prey."
114,Emperor Scorpion,Pandinus imperator,Invertebrate,tropical rainforest and savanna,West Africa,insects and small invertebrates (carnivore),Least Concern,"Glows blue-green under ultraviolet light, for reasons still debated by scientists.","Emperor Scorpion (Pandinus imperator) is a invertebrate that lives in tropical rainforest and savanna, found in West Africa. Diet: insects and small invertebrates (carnivore). Conservation status: Least Concern. Glows blue-green under ultraviolet light, for reasons still debated by scientists."
115,Chilean Rose Tarantula,Grammostola rosea,Invertebrate,arid scrubland and desert,Chile and Argentina,insects and small invertebrates (carnivore),Least Concern,"One of the most docile tarantula species, often kept as a first pet spider.","Chilean Rose Tarantula (Grammostola rosea) is a invertebrate that lives in arid scrubland and desert, found in Chile and Argentina. Diet: insects and small invertebrates (carnivore). Conservation status: Least Concern. One of the most docile tarantula species, often kept as a first pet spider."
116,Giant Pacific Octopus,Enteroctopus dofleini,Invertebrate,cold coastal waters and reefs,the North Pacific,"crabs, shrimp, and fish (carnivore)",Least Concern,"One of the most intelligent invertebrates, capable of solving puzzles and opening jars.","Giant Pacific Octopus (Enteroctopus dofleini) is a invertebrate that lives in cold coastal waters and reefs, found in the North Pacific. Diet: crabs, shrimp, and fish (carnivore). Conservation status: Least Concern. One of the most intelligent invertebrates, capable of solving puzzles and opening jars."
117,Moon Jellyfish,Aurelia aurita,Invertebrate,coastal and open ocean waters,oceans worldwide,plankton (filter feeder),Least Concern,"Its translucent, saucer-shaped bell makes it one of the most recognizable jellyfish.","Moon Jellyfish (Aurelia aurita) is a invertebrate that lives in coastal and open ocean waters, found in oceans worldwide. Diet: plankton (filter feeder). Conservation status: Least Concern. Its translucent, saucer-shaped bell makes it one of the most recognizable jellyfish."
118,Ochre Sea Star,Pisaster ochraceus,Invertebrate,rocky intertidal shores,the Pacific coast of North America,mussels and barnacles (carnivore),Least Concern,A keystone species; removing it can dramatically reshape the intertidal community.,"Ochre Sea Star (Pisaster ochraceus) is a invertebrate that lives in rocky intertidal shores, found in the Pacific coast of North America. Diet: mussels and barnacles (carnivore). Conservation status: Least Concern. A keystone species; removing it can dramatically reshape the intertidal community."
119,Atlantic Horseshoe Crab,Limulus polyphemus,Invertebrate,shallow coastal waters and sandy beaches,the eastern coast of North America,worms and small mollusks (omnivore),Vulnerable,More closely related to spiders and scorpions than to true crabs; its blue blood is prized in medical testing.,"Atlantic Horseshoe Crab (Limulus polyphemus) is a invertebrate that lives in shallow coastal waters and sandy beaches, found in the eastern coast of North America. Diet: worms and small mollusks (omnivore). Conservation status: Vulnerable. More closely related to spiders and scorpions than to true crabs; its blue blood is prized in medical testing."
120,Garden Snail,Cornu aspersum,Invertebrate,"gardens, woodland, and grassland","originally the Mediterranean, now worldwide",leaves and plant matter (herbivore),Least Concern,"Carries its spiral shell for life, growing it larger as its body grows.","Garden Snail (Cornu aspersum) is a invertebrate that lives in gardens, woodland, and grassland, found in originally the Mediterranean, now worldwide. Diet: leaves and plant matter (herbivore). Conservation status: Least Concern. Carries its spiral shell for life, growing it larger as its body grows."
